"customer","order","total_items","discount%","weekday","hour","Food%","Fresh%","Drinks%","Home%","Beauty%","Health%","Baby%","Pets%"
0, 0, 45, 23.03, 4, 13, 9.46, 87.06, 3.48, 0, 0, 0, 0, 0
0, 1, 38, 1.22, 5, 13, 15.87, 75.8, 6.22, 2.12, 0, 0, 0, 0
0, 2, 51, 18.08, 4, 13, 16.88, 56.75, 3.37, 16.48, 6.53, 0, 0, 0
1, 3, 57, 16.51, 1, 12, 28.81, 35.99, 11.78, 4.62, 2.87, 15.92, 0, 0
1, 4, 53, 18.31, 2, 11, 24.13, 60.38, 7.78, 7.72, 0, 0, 0, 0
1, 5, 8, 23.89, 4, 13, 0, 100.0, 0, 0, 0, 0, 0, 0
1, 6, 35, 17.26, 1, 10, 13.01, 51.84, 29.36, 5.79, 0, 0, 0, 0
1, 7, 12, 6.61, 4, 8, 17.21, 67.93, 14.86, 0, 0, 0, 0, 0
1, 8, 35, 22.29, 1, 12, 15.5, 61.65, 22.85, 0, 0, 0, 0, 0
1, 9, 44, 20.39, 2, 12, 15.29, 44.11, 12.28, 8.9, 15.53, 3.9, 0, 0
1, 10, 17, 18.41, 4, 9, 16.92, 70.15, 12.93, 0, 0, 0, 0, 0
1, 11, 7, 15, 1, 8, 0, 39.93, 60.07, 0, 0, 0, 0, 0
1, 12, 30, 18.86, 1, 9, 22.9, 40.36, 14.47, 10.68, 0, 11.58, 0, 0
1, 13, 35, 16.38, 1, 11, 11.46, 79.06, 9.48, 0, 0, 0, 0, 0
1, 14, 32, 17.41, 1, 10, 13.37, 45.57, 28.61, 0, 0, 12.46, 0, 0
1, 15, 27, 21.8, 1, 9, 48.23, 20.37, 15.38, 8.29, 7.73, 0, 0, 0
1, 16, 38, 17.31, 1, 11, 12.88, 64.26, 9.43, 0, 13.42, 0, 0, 0
1, 17, 28, 18.76, 1, 11, 14.57, 43.42, 22.09, 13.18, 6.74, 0, 0, 0
1, 18, 31, 16.49, 1, 12, 24.27, 33.09, 16.18, 0, 0, 26.47, 0, 0
1, 19, 23, 19.52, 1, 13, 23.22, 56.85, 19.93, 0, 0, 0, 0, 0
1, 20, 30, 17.89, 2, 11, 14.62, 32.77, 18.71, 0, 0, 0, 33.9, 0
1, 21, 45, 17.27, 1, 10, 20.19, 63.32, 11.53, 4.97, 0, 0, 0, 0
1, 22, 36, 16.62, 5, 9, 18.66, 47.13, 17.5, 0, 0, 16.71, 0, 0
2, 23, 26, 2.97, 6, 23, 24.1, 22.29, 38.69, 14.92, 0, 0, 0, 0
3, 24, 28, 2.21, 1, 10, 36.51, 31.93, 27.18, 4.38, 0, 0, 0, 0
3, 25, 67, 4.19, 7, 21, 12.47, 68.13, 3.46, 15.93, 0, 0, 0, 0
3, 26, 27, 3.23, 1, 10, 25.45, 36.17, 10.34, 28.03, 0, 0, 0, 0
3, 27, 6, 0, 2, 20, 12.5, 67.74, 0, 19.76, 0, 0, 0, 0
3, 28, 27, 5.8, 1, 13, 5.2, 65.05, 13.3, 16.45, 0, 0, 0, 0
3, 29, 19, 0, 4, 12, 28.26, 56.4, 15.34, 0, 0, 0, 0, 0
3, 30, 34, 1.25, 1, 10, 37.61, 44.11, 11.95, 6.34, 0, 0, 0, 0
3, 31, 3, 0, 1, 12, 0, 100.0, 0, 0, 0, 0, 0, 0
3, 32, 64, 2.62, 4, 12, 10.91, 68.73, 3.6, 16.77, 0, 0, 0, 0
3, 33, 36, 15.02, 1, 12, 27.55, 22.82, 5.96, 0, 0, 0, 43.67, 0
3, 34, 43, 0, 1, 11, 21.35, 69.37, 9.28, 0, 0, 0, 0, 0
3, 35, 41, 0.6, 1, 12, 23.57, 48.0, 13.76, 14.67, 0, 0, 0, 0
3, 36, 9, 2.86, 2, 11, 55.24, 44.76, 0, 0, 0, 0, 0, 0
3, 37, 31, 4.82, 1, 12, 22.8, 57.01, 16.12, 4.07, 0, 0, 0, 0
3, 38, 3, 33.33, 2, 13, 0, 0, 0, 100.0, 0, 0, 0, 0
3, 39, 28, 0.48, 5, 12, 42.37, 50.97, 0, 6.66, 0, 0, 0, 0
3, 40, 3, 0, 1, 8, 22.76, 0, 0, 77.24, 0, 0, 0, 0
3, 41, 6, 0, 1, 10, 0, 100.0, 0, 0, 0, 0, 0, 0
3, 42, 35, 4.85, 1, 12, 13.48, 56.35, 10.8, 19.37, 0, 0, 0, 0
3, 43, 20, 0.41, 2, 13, 65.64, 12.36, 21.99, 0, 0, 0, 0, 0
