,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,vac_per_hund,aged_65_older,life_expectancy,hum_dev_ind,region,varname,threshlow,threshhigh
ARG,2024-01-28,Argentina,10094643.0,130733.0,221809.957,2872.601,45510324,16.177,31.9,18933.907,5.0,,11.198,76.67,0.845,South America,total_cases,-1877250.25,3197207.75
AUS,2024-02-04,Australia,11769858.0,24566.0,449618.889,938.443,26177410,3.202,37.9,44648.71,3.84,,15.504,83.44,0.944,Oceania / Aus,total_cases,-1877250.25,3197207.75
AUT,2023-07-02,Austria,6081287.0,22534.0,680262.588,2520.69,8939617,106.749,44.4,45436.686,7.37,,19.202,81.54,0.922,Western Europe,total_cases,-1877250.25,3197207.75
BEL,2024-01-28,Belgium,4855952.0,34339.0,416608.106,2946.056,11655923,375.564,41.8,42658.576,5.64,269.97,18.571,81.63,0.931,Western Europe,total_cases,-1877250.25,3197207.75
BRA,2023-10-01,Brazil,37519960.0,702116.0,174257.347,3260.901,215313504,25.04,33.5,14103.452,2.2,,8.552,75.88,0.765,South America,total_cases,-1877250.25,3197207.75
CAN,2024-02-04,Canada,4774222.0,54127.0,124153.047,1407.566,38454328,4.037,41.4,44017.591,2.5,266.11,16.984,82.43,0.929,North America,total_cases,-1877250.25,3197207.75
CHL,2024-01-28,Chile,5345008.0,62288.0,272652.519,3177.354,19603736,24.282,35.4,22767.037,2.11,,11.087,80.18,0.851,South America,total_cases,-1877250.25,3197207.75
CHN,2024-02-04,China,99329249.0,121933.0,69661.357,85.514,1425887360,147.674,38.7,15308.712,4.34,,10.641,76.91,0.761,East Asia,total_cases,-1877250.25,3197207.75
COL,2024-01-28,Colombia,6393550.0,142727.0,123251.466,2751.415,51874028,44.223,32.2,13254.949,1.71,,7.646,77.29,0.767,South America,total_cases,-1877250.25,3197207.75
CZE,2024-01-28,Czechia,4756085.0,43478.0,453219.891,4143.133,10493990,137.176,43.3,32605.906,6.63,,19.027,79.38,0.9,Western Europe,total_cases,-1877250.25,3197207.75
DNK,2024-01-07,Denmark,3433033.0,9436.0,583624.93,1604.146,5882259,136.52,42.3,46682.515,2.5,,19.677,80.9,0.94,Western Europe,total_cases,-1877250.25,3197207.75
FRA,2023-06-25,France,38997490.0,167985.0,603427.621,2599.316,67813000,122.578,42.0,38605.671,5.98,227.81,19.718,82.66,0.901,Western Europe,total_cases,-1877250.25,3197207.75
DEU,2023-07-02,Germany,38437756.0,174979.0,461051.095,2098.829,83369840,237.016,46.6,45229.245,8.0,,21.453,81.33,0.947,Western Europe,total_cases,-1877250.25,3197207.75
GRC,2024-01-28,Greece,5611832.0,38806.0,540380.08,3736.746,10384972,83.479,45.3,24574.382,4.21,215.99,20.396,82.24,0.888,Eastern Europe,total_cases,-1877250.25,3197207.75
IND,2024-02-04,India,45026139.0,533454.0,31771.799,376.421,1417173120,450.419,28.2,6426.674,0.53,155.72,5.989,69.66,0.645,South Asia,total_cases,-1877250.25,3197207.75
IDN,2024-02-04,Indonesia,6828268.0,162054.0,24784.881,588.215,275501344,145.725,29.3,11188.744,1.04,,5.319,71.72,0.718,East Asia,total_cases,-1877250.25,3197207.75
IRN,2024-02-04,Iran,7626527.0,146799.0,86126.235,1657.799,88550568,49.831,32.4,19082.62,1.5,,5.44,76.68,0.783,West Asia,total_cases,-1877250.25,3197207.75
ISR,2023-10-29,Israel,4841558.0,12707.0,512388.401,1344.798,9449000,402.606,30.6,33132.32,2.99,,11.733,82.97,0.919,West Asia,total_cases,-1877250.25,3197207.75
ITA,2024-01-28,Italy,26699442.0,195996.0,452245.686,3319.858,59037472,205.859,47.9,35220.084,3.18,,23.021,83.51,0.892,Western Europe,total_cases,-1877250.25,3197207.75
JPN,2023-05-14,Japan,33803572.0,74694.0,272715.688,602.606,123951696,347.778,48.2,39002.223,13.05,,27.049,84.63,0.919,East Asia,total_cases,-1877250.25,3197207.75
MYS,2024-01-28,Malaysia,5269967.0,37340.0,155281.203,1100.235,33938216,96.254,29.9,26808.164,1.9,214.07,6.293,76.16,0.81,East Asia,total_cases,-1877250.25,3197207.75
MEX,2023-12-31,Mexico,7702809.0,334958.0,60412.236,2627.037,127504120,66.444,29.3,17336.469,1.38,,6.857,75.05,0.779,North America,total_cases,-1877250.25,3197207.75
NLD,2024-01-28,Netherlands,8633769.0,22986.0,491559.962,1308.698,17564020,508.544,43.2,48472.545,3.32,,18.779,82.28,0.944,Western Europe,total_cases,-1877250.25,3197207.75
PER,2023-12-31,Peru,4536733.0,221583.0,133238.998,6507.656,34049588,25.129,29.1,12236.706,1.6,,7.151,76.74,0.777,South America,total_cases,-1877250.25,3197207.75
PHL,2024-01-21,Philippines,4140383.0,66864.0,35829.167,578.613,115559008,351.873,25.2,7599.188,1.0,,4.803,71.23,0.718,East Asia,total_cases,-1877250.25,3197207.75
POL,2024-01-28,Poland,6653365.0,120577.0,166930.3,3025.229,39857144,124.027,41.8,27216.445,6.62,,16.763,78.73,0.88,Eastern Europe,total_cases,-1877250.25,3197207.75
PRT,2024-01-28,Portugal,5641992.0,28079.0,549320.471,2733.852,10270857,112.371,46.2,27936.896,3.39,,21.502,82.05,0.864,Western Europe,total_cases,-1877250.25,3197207.75
ROU,2024-01-28,Romania,3519108.0,68676.0,179005.019,3493.314,19659270,85.129,43.0,23313.199,6.892,,17.85,76.05,0.828,Eastern Europe,total_cases,-1877250.25,3197207.75
RUS,2024-01-28,Russia,23774451.0,401884.0,164286.552,2777.105,144713312,8.823,39.6,24765.954,8.05,,14.178,72.58,0.824,Eastern Europe,total_cases,-1877250.25,3197207.75
ZAF,2023-12-03,South Africa,4072636.0,102595.0,67997.527,1712.946,59893884,46.754,27.3,12294.876,2.32,,5.344,64.13,0.709,Southern Africa,total_cases,-1877250.25,3197207.75
KOR,2023-09-10,South Korea,34571873.0,35934.0,667207.062,693.495,51815808,527.967,43.4,35938.374,12.27,,13.914,83.03,0.916,East Asia,total_cases,-1877250.25,3197207.75
ESP,2023-07-02,Spain,13980340.0,121852.0,293960.095,2562.143,47558632,93.105,45.5,34272.36,2.97,,19.436,83.56,0.904,Western Europe,total_cases,-1877250.25,3197207.75
CHE,2024-01-28,Switzerland,4450977.0,14178.0,509237.66,1622.109,8740471,214.243,43.1,57410.166,4.53,,18.436,83.78,0.955,Western Europe,total_cases,-1877250.25,3197207.75
THA,2024-02-04,Thailand,4765718.0,34555.0,66470.235,481.959,71697024,135.132,40.1,16277.671,2.1,,11.373,77.15,0.777,East Asia,total_cases,-1877250.25,3197207.75
TUR,2022-11-13,Turkey,17004677.0,101419.0,199255.078,1188.394,85341248,104.914,31.6,25129.341,2.81,,8.153,77.69,0.82,West Asia,total_cases,-1877250.25,3197207.75
UKR,2024-01-14,Ukraine,5521032.0,109918.0,139062.707,2768.594,39701744,77.39,41.4,7894.393,8.8,,16.462,72.06,0.779,Eastern Europe,total_cases,-1877250.25,3197207.75
GBR,2024-01-28,United Kingdom,24892903.0,232112.0,368734.933,3438.241,67508936,272.898,40.8,39753.244,2.54,,18.517,81.32,0.932,Western Europe,total_cases,-1877250.25,3197207.75
USA,2023-05-14,United States,103436829.0,1127152.0,305763.91,3331.912,338289856,35.608,38.3,54225.446,2.77,,15.413,78.86,0.926,North America,total_cases,-1877250.25,3197207.75
